Tickers,Modified Duration (yrs),YTM (%),YTM/Modified Duration
PERUGB 8.2 08/12/2026,2.2769,3.87,1.7
PERUGB 6.35 08/12/2028,3.9337,3.97,1.01
PERUGB 6 02/12/2029,4.3349,4.05,0.93
PERUGB 5.94 02/12/2029,4.3396,4.04,0.93
PERUGB 2.8893 02/12/2030,5.5086,2.03,0.37
PERUGB 6.95 08/12/2031,5.9686,4.37,0.73
PERUGB 6.15 08/12/2032,6.6952,4.58,0.68
PERUGB 7.3 08/12/2033,7.0577,4.96,0.7
PERUGB 5.4 08/12/2034,7.938,5.38,0.68
PERUGB 6.85 08/12/2035,8.0659,5.77,0.72
PERUGB 7.39 01/31/2035,8.1851,2.89,0.35
PERUGB 6.9 08/12/2037,8.8577,6.24,0.7
PERUGB 7.6 08/12/2039,9.3834,6.47,0.69
PERUGB 5.35 08/12/2040,10.4555,6.47,0.62
PERUGB 6.85 02/12/2042,10.5535,6.16,0.58
PERUGB 3.1412 02/12/2040,12.2568,3.93,0.32
PERUGB 6.7142 02/12/2055,13.5932,6.12,0.45
PERUGB 3.83 08/12/2046,15.4162,3.19,0.21
PERUGB 3.2669 02/12/2054,18.5603,3.66,0.2
