metal,precio,anio,fuente
gold,"5,000",2026,https://www.jpmorgan.com/insights/global-research/commodities/gold-prices
gold,"5,000",2026,https://www.jpmorgan.com/insights/global-research/commodities/gold-prices
gold,585,2026,https://www.jpmorgan.com/insights/global-research/commodities/gold-prices
gold,"5,000",2026,https://www.jpmorgan.com/insights/global-research/commodities/gold-prices
Gold,"5,400",2027,https://www.jpmorgan.com/insights/global-research/commodities/gold-prices
gold,"3,458",2025,https://www.jpmorgan.com/insights/global-research/commodities/gold-prices
gold,10,2020,https://www.jpmorgan.com/insights/global-research/commodities/gold-prices
gold,",",2022,https://www.jpmorgan.com/insights/podcast-hub/research-recap/silver-market-2026
silver,",",2025,https://www.jpmorgan.com/insights/podcast-hub/research-recap/silver-market-2026
silver,.,2022,https://www.jpmorgan.com/insights/podcast-hub/research-recap/silver-market-2026
